     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.5254192343E-02    0.6312523757E-02    0.3414477121E-02
    0.3000000000E+01    0.1534260923E-01    0.1826877318E-01    0.9992676252E-02
    0.5000000000E+01    0.2491507646E-01    0.2940394350E-01    0.1625817108E-01
    0.7000000000E+01    0.3401860679E-01    0.3979381863E-01    0.2223459130E-01
    0.9000000000E+01    0.4269449736E-01    0.4950525799E-01    0.2794320225E-01
    0.1100000000E+02    0.5097917512E-01    0.5859746957E-01    0.3340319522E-01
    0.1300000000E+02    0.5890489678E-01    0.6712307096E-01    0.3863193592E-01
    0.1500000000E+02    0.6650033145E-01    0.7512897865E-01    0.4364517799E-01
    0.1700000000E+02    0.7379104831E-01    0.8265715707E-01    0.4845724707E-01
    0.1900000000E+02    0.8079992693E-01    0.8974525260E-01    0.5308120018E-01
    0.2100000000E+02    0.8754750402E-01    0.9642713263E-01    0.5752896418E-01
    0.2300000000E+02    0.9405226791E-01    0.1027333460E+00    0.6181145635E-01
    0.2500000000E+02    0.1003309097E+00    0.1086915176E+00    0.6593868985E-01
    0.2700000000E+02    0.1063985383E+00    0.1143266881E+00    0.6991986617E-01
    0.2900000000E+02    0.1122688651E+00    0.1196616077E+00    0.7376345645E-01
    0.3100000000E+02    0.1179543640E+00    0.1247169903E+00    0.7747727312E-01
    0.3300000000E+02    0.1234664087E+00    0.1295117350E+00    0.8106853327E-01
    0.3500000000E+02    0.1288153934E+00    0.1340631190E+00    0.8454391483E-01
    0.3700000000E+02    0.1340108371E+00    0.1383869670E+00    0.8790960647E-01
    0.3900000000E+02    0.1390614749E+00    0.1424977992E+00    0.9117135200E-01
    0.4100000000E+02    0.1439753385E+00    0.1464089623E+00    0.9433449004E-01
    0.4300000000E+02    0.1487598262E+00    0.1501327442E+00    0.9740398948E-01
    0.4500000000E+02    0.1534217658E+00    0.1536804764E+00    0.1003844813E+00
    0.4700000000E+02    0.1579674687E+00    0.1570626244E+00    0.1032802871E+00
    0.4900000000E+02    0.1624027794E+00    0.1602888680E+00    0.1060954447E+00
    0.1000000000E+02    0.4688363139E-01    0.5412533537E-01    0.3070315049E-01
    0.3000000000E+02    0.1151339829E+00    0.1222230198E+00    0.7563612216E-01
    0.5000000000E+02    0.1645807470E+00    0.1618463535E+00    0.1074739704E+00
    0.7000000000E+02    0.2034726429E+00    0.1866701169E+00    0.1316097141E+00
    0.9000000000E+02    0.2356321576E+00    0.2029556672E+00    0.1507873299E+00
    0.1100000000E+03    0.2631024517E+00    0.2139506874E+00    0.1665593243E+00
    0.1300000000E+03    0.2870930025E+00    0.2214938732E+00    0.1798748666E+00
    0.1500000000E+03    0.3083773813E+00    0.2266960205E+00    0.1913496523E+00
    0.1700000000E+03    0.3274814457E+00    0.2302625437E+00    0.2014021841E+00
    0.1900000000E+03    0.3447806839E+00    0.2326594542E+00    0.2103279147E+00
    0.2100000000E+03    0.3605542396E+00    0.2342045727E+00    0.2183420671E+00
    0.2300000000E+03    0.3750166622E+00    0.2351203894E+00    0.2256056071E+00
    0.2500000000E+03    0.3883374815E+00    0.2355660734E+00    0.2322416569E+00
    0.2700000000E+03    0.4006537785E+00    0.2356575837E+00    0.2383462344E+00
    0.2900000000E+03    0.4120785496E+00    0.2354807082E+00    0.2439954954E+00
    0.3100000000E+03    0.4227064499E+00    0.2350997469E+00    0.2492507443E+00
    0.3300000000E+03    0.4326178484E+00    0.2345634334E+00    0.2541619835E+00
