     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.6304893755E-02    0.4740376045E-02    0.3420982819E-02
    0.3000000000E+01    0.1840908220E-01    0.1375221112E-01    0.1004831625E-01
    0.5000000000E+01    0.2989043859E-01    0.2218542184E-01    0.1640523187E-01
    0.7000000000E+01    0.4080399114E-01    0.3009029125E-01    0.2250919031E-01
    0.9000000000E+01    0.5119829056E-01    0.3751147769E-01    0.2837615626E-01
    0.1100000000E+02    0.6111633578E-01    0.4448878360E-01    0.3402075620E-01
    0.1300000000E+02    0.7059634581E-01    0.5105780075E-01    0.3945641656E-01
    0.1500000000E+02    0.7967240687E-01    0.5725045484E-01    0.4469548505E-01
    0.1700000000E+02    0.8837501747E-01    0.6309546711E-01    0.4974933750E-01
    0.1900000000E+02    0.9673154977E-01    0.6861874768E-01    0.5462847229E-01
    0.2100000000E+02    0.1047666416E+00    0.7384373196E-01    0.5934259385E-01
    0.2300000000E+02    0.1125025313E+00    0.7879166969E-01    0.6390068686E-01
    0.2500000000E+02    0.1199593445E+00    0.8348187419E-01    0.6831108221E-01
    0.2700000000E+02    0.1271553406E+00    0.8793193813E-01    0.7258151582E-01
    0.2900000000E+02    0.1341071263E+00    0.9215792089E-01    0.7671918121E-01
    0.3100000000E+02    0.1408298397E+00    0.9617451198E-01    0.8073077660E-01
    0.3300000000E+02    0.1473373106E+00    0.9999517379E-01    0.8462254710E-01
    0.3500000000E+02    0.1536422009E+00    0.1036322669E+00    0.8840032272E-01
    0.3700000000E+02    0.1597561261E+00    0.1070971602E+00    0.9206955256E-01
    0.3900000000E+02    0.1656897632E+00    0.1104003280E+00    0.9563533568E-01
    0.4100000000E+02    0.1714529447E+00    0.1135514363E+00    0.9910244898E-01
    0.4300000000E+02    0.1770547416E+00    0.1165594184E+00    0.1024753725E+00
    0.4500000000E+02    0.1825035372E+00    0.1194325432E+00    0.1057583124E+00
    0.4700000000E+02    0.1878070924E+00    0.1221784751E+00    0.1089552214E+00
    0.4900000000E+02    0.1929726029E+00    0.1248043283E+00    0.1120698184E+00
    0.1000000000E+02    0.5621435236E-01    0.4105329936E-01    0.3122538620E-01
    0.3000000000E+02    0.1374962237E+00    0.9419152178E-01    0.7874033718E-01
    0.5000000000E+02    0.1955056986E+00    0.1260743099E+00    0.1135973522E+00
    0.7000000000E+02    0.2403148035E+00    0.1465500271E+00    0.1405773814E+00
    0.9000000000E+02    0.2766601630E+00    0.1602943452E+00    0.1622888317E+00
    0.1100000000E+03    0.3071031235E+00    0.1697977463E+00    0.1802819708E+00
    0.1300000000E+03    0.3331764187E+00    0.1764982296E+00    0.1955396171E+00
    0.1500000000E+03    0.3558706111E+00    0.1812772860E+00    0.2087171242E+00
    0.1700000000E+03    0.3758654666E+00    0.1847008019E+00    0.2202696125E+00
    0.1900000000E+03    0.3936501731E+00    0.1871456448E+00    0.2305238875E+00
    0.2100000000E+03    0.4095904007E+00    0.1888704188E+00    0.2397212730E+00
    0.2300000000E+03    0.4239679744E+00    0.1900570386E+00    0.2480442550E+00
    0.2500000000E+03    0.4370055442E+00    0.1908361810E+00    0.2556336752E+00
    0.2700000000E+03    0.4488825986E+00    0.1913034145E+00    0.2626001815E+00
    0.2900000000E+03    0.4597462536E+00    0.1915297230E+00    0.2690320652E+00
    0.3100000000E+03    0.4697187639E+00    0.1915685485E+00    0.2750007545E+00
    0.3300000000E+03    0.4789029039E+00    0.1914606083E+00    0.2805647475E+00
    0.3500000000E+03    0.4873859204E+00    0.1912372536E+00    0.2857724814E+00
    0.3700000000E+03    0.4952425006E+00    0.1909228518E+00    0.2906644612E+00
    0.3900000000E+03    0.5025370453E+00    0.1905365012E+00    0.2952748632E+00
    0.4100000000E+03    0.5093254386E+00    0.1900932832E+00    0.2996327593E+00
    0.4300000000E+03    0.5156564459E+00    0.1896051877E+00    0.3037630637E+00
    0.4500000000E+03    0.5215728346E+00    0.1890818036E+00    0.3076872733E+00
    0.4700000000E+03    0.5271122804E+00    0.1885308414E+00    0.3114240533E+00
    0.4900000000E+03    0.5323081093E+00    0.1879585305E+00    0.3149897035E+00
    0.1000000000E+03    0.2925070365E+00    0.1654692081E+00    0.1716790360E+00
    0.3000000000E+03    0.4648370738E+00    0.1915697731E+00    0.2720703879E+00
    0.5000000000E+03    0.5347865454E+00    0.1876659876E+00    0.3167128960E+00
    0.7000000000E+03    0.5719947323E+00    0.1815174345E+00    0.3448978298E+00
    0.9000000000E+03    0.5946793210E+00    0.1756309874E+00    0.3653321003E+00
